#,年,月,期,标题,栏目,栏目e,行业,作者,内容
414,Y2019,M10,#460,金融精准扶贫面临的主要风险与对策研究—— 以云南省贫困县为例,金融前沿,Financial Foresight,--,张万伟,"摘要：2019年，全国脱贫攻坚进入冲刺阶段。
越来越多的贫困县在实现整体脱贫后，如何巩固脱
贫成果和迎接国家扶贫考核验收，持续推进产业可
持续发展和对接乡村振兴战略，是当前亟待思考的
课题。本文从金融扶贫的视角出发，结合云南省贫
困县脱贫后的实际情况，探讨当前金融精准扶贫实
施面临的突出风险，并提出应对措施，以助力脱贫
攻坚。
关键词：贫困县；金融精准扶贫风险；对策
中图分类号：F832    文献标识码：A
云南省作为我国脱贫攻坚的主战场之一，贫
困县和贫困人口数量居全国之首。其中的迪庆州、
怒江州，列于全国深度贫困的“三区三洲”之中。
2015年实施脱贫攻坚和精准扶贫以来，通过地方政
府及各界人士多年来的共同努力，经按照“县级申请、
州（市）审核、省级核查及第三方评估”程序进行
的脱贫审查，截至2019年4月末，云南省累计已有
48个贫困县（市、区）实现脱贫摘帽，占全省贫困
县总数的54.5%，为确保2020年脱贫攻坚取得全胜
奠定了坚实的基础。但由于云南省贫困山区面积较
大，区位交通优势不明显，滇西边境、石漠化山区 ..."
415,Y2019,M11,#461,低通胀环境下的货币政策—— 以欧洲央行为例,时评,Review,--, Philip R. Lane,"摘要：本文探讨了在低通胀环境中，货币政策
应该如何执行。这已成为一项世界性课题，全球许
多经济体的中央银行都面对类似的挑战。全球金融
危机后，各国大多经历了长时间的政策调整期，但
近年来通胀率仍遭遇了多次下行冲击，并致使低通
胀成为普遍现象。另一方面，无论当前低通胀的根
源是什么，许多人都希望理解中央银行应该怎样去
实现其通货膨胀率目标。对欧元区而言，本文试图
说明欧洲央行为了确保通货膨胀率能够在中期达到
目标值所采取的各项货币政策措施是有效的，并提
出为了实现货币政策目标，欧洲央行还可进一步使
用这些货币政策工具来提供更多的流动性。本文还
阐释了当通胀率长期偏离目标时，包括欧洲央行在
内的各国央行应该采取明确的沟通策略，以使公众
对于中央银行将在中期实现通胀目标值的承诺深信
不疑。
关键词：欧洲央行；非传统货币政策工具；低通
胀
中图分类号：F831   文献标识码：A
一、欧洲央行的货币政策工具
在Hutchinson &Smets（2017），Hartmann&Smets
（2019）以及Rostagno et al.（2019）的文章中，已
对欧洲央行货币政策的历史沿革进行了很好的回顾 ..."
416,Y2019,M11,#461,证券融资业务的信用风险计量,银行家论坛,Banker's Forum,--,金彦  阮杰锋  葛俊峰,"摘要：由于回购、逆回购业务中嵌入了回购安
排，导致其风险特征有别于常规授信业务，需要计
提交易对手信用风险资本要求。随着债券借贷等新
型业务的开展，证券融资交易对手信用风险计量面
临新的挑战。对此，本文梳理了国际、国内证券融
资业务资本计量的相关规定，并结合国内市场特点
对资本计量规则提出了优化建议。
关键词：证券融资；信用风险；风险计量规则
中图分类号：F830       文献标识码：A
一、证券融资是金融体系重要的金融
工具
（一）证券融资业务类型多样
根据巴塞尔银行监管委员会的规定，证券融资
交易包括回购交易、证券借贷和保证金贷款。我国
《商业银行资本管理办法（试行）》（以下简称《办法》）
与上述要求基本一致。
回购交易借贷的标的是资金，媒介是证券。《中
国银行间市场债券回购交易主协议（2013年版）》
根据证券是否转让，将回购交易划分为质押式回购
和买断式回购。对于质押式回购，期初机构A将回
购债券出质给机构B，B向A借出资金，并约定到
期时A向B归还资金及利息，B解除对回购债券的
质权；对于买断式回购，期初机构A将回购债券出 ..."
417,Y2019,M11,#461,数字化支撑下的零售信贷场景创新,数字化金融,Special Column,--,何开宇,"摘要：近年来，宏观经济增速放缓、利率市场化
融资脱媒化愈演愈烈，对商业银行产生了巨大影响
银行的盈利能力、经营模式、业务导向等均受到直
接或间接的影响。个人贷款业务是个人金融业务的
重要创利来源。发展零售信贷能改善商业银行的资
产结构，促使其资产结构多元化，增强其抵御系统
性金融风险的能力，提高商业银行的盈利水平。因
此，各国商业银行都注意利用金融科技，不断开展
零售信贷的场景创新。本文从旅游、教育、养老
手机银行、网上购物、线下购物、餐饮娱乐、购车
现金贷等领域，分析梳理了国外商业银行在零售信
贷场景方面的创新，以期为我国商业银行创新个人
信贷场景提供借鉴。
关键词：零售信贷；数字化；个人金融；场景创
新
中图分类号：F833  文献标识码：A
随着全球经济复苏放缓，商业银行面临竞争加
剧、利率市场化、客户行为模式变化等挑战，盈利
能力受到影响。个人金融业务具有逆周期的特点
因此各国商业银行均加大力量发展个人金融业务
使个人金融成为商业银行成长最快的业务。零售信
贷业务是个人金融业务中利润最为丰厚的业务。随
着PC时代被移动互联网时代替代，人们的行为方
式越来越碎片化，消费需求也越来越个性化。对此
各国商业银行纷纷通过整合充实自身的服务场景 ..."
418,Y2019,M11,#461,欧洲领先数字银行的发展及启示,数字化金融,Special Column,--,李梦宇,"摘要：2013年以来，欧洲数字银行在欧洲央行
及各国的积极政策引导下，逐步发展并形成了竞争
优势，开始向美国等市场扩张。数字银行具备政策
敏感性强、数字化程度高、运营成本低、市场定位
清晰、企业架构简单等优势，可为客户带来不同于
传统银行的使用体验。其中，N26与OakNorth基于
其自身优势，分别在零售金融及中小微企业贷款等
领域积累了良好的客户基础。面对数字银行在全球
方兴未艾的发展趋势，我国的商业银行应密切关注
监管动向，发挥金融科技力量；借助数字银行渠道
拓展海外业务；强化自身优势业务，增强服务多元
化布局；创新体制机制，降低经营成本；优化数据
结构，拥抱开放银行的发展。
关键词：欧洲数字银行；监管政策；发展模式
中图分类号：F833  文献标识码：A
在新一轮金融科技浪潮中，在欧盟及欧央行等
的积极引导下，欧洲银行业涌现出一批高质量的数
字银行（Digital-Only Banks）①，在改善用户体验
提升行业效率的同时，也悄然改变着竞争格局。截
至2018年年末，欧洲数字银行用户已超过1000万
2005年后成立的新进机构数量，已占到银行及支付
机构的20%，新进机构实现的总收入则占到2005
年以来业内新增收入的33%②。数字银行已对传统
作者简介：李梦宇，中国银行博士后科研工作站博士后。
① 根据Christ Skinner《数字银行》的观点，数字银行的核心特征是以
务趋向定制化和互动化，银行组织架构则趋于扁平化。 ..."
419,Y2019,M11,#461,柠檬市场与金融供给侧改革：买同业存单需要什么信仰,银行业经营管理,Banking Management,--,樊磊,"摘要：包商银行被接管以及打破同业刚性兑付
（本文简称刚兑），被市场视作中国金融供给侧改革
的正式落地。本文认为，柠檬市场和信息不对称理
论，可能会对相关事件进行深度分析提供一个有益
视角。打破同业市场刚兑，意味着市场要完成定价
和交易必须以获取中小银行信用方面的高质量信息
为前提。而正是此类信息的整体缺失，导致了包商
银行被接管后银行间市场流动性的急剧萎缩。在政
府实施救助之后，大部分同业存单能够发行但也有
少数银行发行存单困难的现象颇为令人费解。如果
说刚兑信仰恢复，为什么少数银行会被排除在外？
如果说已经在按照信用定价，目前看信息披露的改
善似乎又微乎其微。本文提出一个假说来解释上述
谜团：银行间市场仍然相信，为了避免系统性金融
风险，即使打破刚兑，政府也只会让金融机构一个
一个被接管。这意味着除了处在倒数第一位置上候
选的机构之外，其他机构都是安全的，即倒数第二
名及以上仍存在刚兑信仰。本文假说的几个推论与
现实比较吻合。
关键词：信息不对称；金融供给侧改革；同业存
单；刚性兑付
中图分类号：F832       文献标识码：A  ..."
420,Y2019,M11,#461,美国银行业发展和监管研究,银行业经营管理,Banking Management,--,陈歆,"摘要：在遭受2008年金融危机重创之后，美国
银行业自2011年后开始强劲复苏。2018年，受益
于宏观经济复苏、连续加息、税改及放松监管等政
策，美国银行业主要经营指标已恢复，甚至超过危
机前的峰值。近年来,美国采取对国内银行放松监
管、对外资银行加强监管、鼓励金融科技发展等举
措，也助推了美国银行业的复苏。以此为鉴，我国
银行业应在发展过程中更加注重质的提升、有效运
用金融科技，探索建立市场化退出机制，并加强中
资银行“走出去”过程中的风险管控。
关键词：次贷危机；美国银行业；监管
中图分类号：F831       文献标识码：A
一、美国银行业的总体情况
一是银行机构数量明显收缩。美国联邦存款
保险公司（FDIC）公布的数据显示，1984年以后，
美国银行机构数量逐年下降，由当年的17901家下
降到2018年的5406家。其中，减少的主要是资产
少于1亿美元的小银行，从1984年的14034家锐
减至2018年的1278家；而资产超过100亿美元的
银行数量不减反增，从1984年年末的32家增加到
2018年年末的137家。30多年间，超过1万家小
银行因并购、整合或倒闭而退出市场，一方面是由
于美国开启利率市场化进程后，小银行在资源争夺
方面缺乏优势，经营风险高企，易诱发倒闭；另一 ..."
421,Y2019,M11,#461,新中国成立七十年来外汇政策的改革调整和成就,宏观经济与市场,Macro Economy & Market,--,贺力平,"摘要：新中国成立七十年来，中国外汇政策和
外汇管理体制的演进经历了三大阶段：计划经济时
期，转轨时期和九十年代中期以后的走向开放时期
外汇政策调整和管理体制改革取得了巨大成就，中
国从过去的外汇短缺国变成了外汇充足国，从对外
净负债国变成了对外净资产国。在市场化导向的外
汇管理和汇率体制中，人民币汇率的定价逐渐相对
合理，人民币也开启了国际化进程。七十年来外汇
政策改革调整的基本经验是，坚持市场化方针，并
不断努力防范各种金融风险。
关键词：外汇政策；转轨；开放；人民币
中图分类号：F832    文献标识码：A
在新中国成立七十年后的今天，中国已成为世
界上拥有对外资产最多的国家之一，不但从过去的
外汇短缺国变成了外汇充裕国，人民币也由过去持
续面临贬值预期转变到在长时间中保持基本稳定的
格局。七十年来，中国在外汇政策调整和改革方面
经历过不少曲折和困难，能取得今天的巨大成就
实属来之不易。回顾这一历程，有利于总结经验教
训，增强信心，更好地迈向未来。 ..."
422,Y2019,M11,#461,全球经济即将进入“低增长，低通胀，货币泛滥”的新常态,宏观经济与市场,Macro Economy & Market,--,张启迪,"摘要：当今世界正面临百年未有之大变局。全
球经济将在未来很长一段时间内呈现出以下三个特
点：一是低增长。短期因素方面主要是受制于高债
务和全球贸易增速放缓，中长期因素方面主要是受
制于人口老龄化、全要素生产率增速放缓和贫富分
化加剧。二是低通胀。总需求不足叠加原油价格难
以大幅上涨，将抑制未来通胀上行。三是货币泛滥。
在高债务和低增长的情况下，货币政策将被迫不断
宽松。为了应对全球经济新常态，主要央行将可能
很快重启非常规货币政策。对于政府债务水平较高
的国家来说，财政赤字货币化不可避免。全球贸易
政策将再次走向合作，以应对新的挑战。
关键词：宏观杠杆率；非常规货币政策；量化宽
松；政府债务；全球贸易
中图分类号：F831      文献标识码：A
2019年以来，全球经济形势趋于复杂化。虽然
发达经济体总体维持复苏态势，但已出现疲弱迹象，
并呈现出分化格局。美国经济复苏已经进入后期阶
段，虽然劳动力市场依然强劲，但制造业则在持续
下滑。数据显示，美国2019年7月ISM制造业指
数为53.7，刷新2016年8月以来最低水平。欧洲
和日本经济表现差强人意，欧元区2019年第二季 ..."
423,Y2019,M11,#461,中美贸易摩擦对我国进出口业务的影响,宏观经济与市场,Macro Economy & Market,--,庄乐梅   王轶宇,"摘要：2018年以来，美国政府先后多次宣布对
从中国进口的商品加征关税，将两国间的贸易争端
推向了一个高峰。中美贸易摩擦激化以来，对我国
的进出口业务、对国内的进出口企业产生了一定影
响。本文以实地调研为基础，通过数据分析，浅析
中美贸易摩擦对我国进出口业务的影响，并结合案
例从政府、银行和企业三个层面，提出了降低贸易
摩擦不利影响的具体措施。
关键词：中美贸易摩擦；进出口业务；应对措施  
中图分类号：F742    文献标识码：A
在国际贸易关系中，贸易双方之间的摩擦是
不可避免的。“中美贸易摩擦”实际上也是自两国
建立贸易关系以来就持续存在和变化的一个重要问
题。近两年来，随着特朗普的上台，美国将两国间
的贸易争端不断升级。2018年，特朗普政府不顾中
方劝阻，罔顾本国民众的呼声和国际社会的舆论，
发动了中美贸易战。从2018年4月美国宣布将对
从中国进口的500亿美元商品加征25%的关税，到
2018年9月宣布对2000亿美元商品加征10%的关
税，伴随着加税清单的不断公布，特朗普政府对中
美贸易战的态度变本加厉。
笔者通过对统计数据的分析和对多家企业的实
地调研，从金融行业从业者的角度浅析中美贸易摩 ..."
424,Y2019,M11,#461,中央对手方监管的研究分析,宏观经济与市场,Macro Economy & Market,--,范薇,"摘要：2008年全球金融危机以来，系统性金融
风险的监测、预警、防范和处置引起了国内外理论
界和实务界的高度关注。从本质上看，CCP是重要
的金融市场基础设施，属于金融中介，但就其是否
会给金融系统带来风险，以及监管层如何更好地对
其进行监管这一极为重要的问题，则鲜有人进行分
析和总结。本文主要对CCP的主要功能、经济效
益、可能给金融系统带来的风险，以及英格兰银行
的CCP监管框架和政策进行了分析总结，以期为完
善中央对手清算机制在我国金融市场的发展和风险
管理，使其在维护金融稳定中发挥更好的作用，以
及我国监管层在货币政策和宏观审慎政策双支柱调
控框架下，更好地统筹对CCP的监管，提供国际经
验和启示。
关键词：中央对手清算机制；CCP监管；经济效
益分析；国际经验；金融风险
中图分类号：F830.9  文献标识码：A
2008年金融危机后，对系统性金融风险的监测
预警、防范和处置引起了国内外理论界和实务界的
高度关注。实务界较为一致地认为，CCP是金融市
场上系统性金融风险的最佳管理者，但鲜有学者能
作者简介：范薇，复旦大学应用经济学博士后流动站，银行间市场清 ..."
425,Y2019,M11,#461,夕阳红下的朝阳产业—— 中国养老地产行业分析,金融前沿,Financial Foresight,--,张雪彤,"摘要：中国已经成为世界上老年人口最多的
国家。据国家统计局的最新数据，截至2017年
年底，全国60周岁及以上人口约2.4亿人，是目
前世界上唯一老年人口超过2亿的国家。面对如
此庞大的老年人群体，我国的养老产业却刚刚起
步，尚未形成成熟的产业模式。作为具有“养老”
及“地产”双重身份的流量体质，近年来养老地
产受到多方关注及质疑。本文将通过深入剖析养
老地产行业及其发展模式，探讨行业面对的风险
与机遇。
关键词：老龄化社会；养老地产；商业银行
中图分类号：F832  文献标识码：A
一、中国步入老龄化阶段
截至2017年年底，中国已经成为世界上老年
人口最多的国家。据国家统计局的最新数据，我国
六十周岁及以上老年人口总数已达2.4亿人，占全
国总人口数量的17.3%。其中，六十五周岁及以上
的老年人口总数已达1.55亿人，占总人口的11.4%
（见图1）。而根据联合国标准，一个国家或地区六
十岁以上的老年人口占总人口的比重达到百分之十
以上，或者六十五岁以上的老人占总人口的百分之 ..."
426,Y2019,M12,#462,金融科技引领全球金融业新格局,时评,Review,--,刘连舸,"当今世界正面临百年未有之大变局，新一轮科
技革命和产业革命正加快重塑世界。世界经济新旧
动能加快转换，金融科技已成为各界议论的热点
本文将对全球金融科技的现状和发展进行探讨。
一、全球金融科技现状及发展趋势
一是从金融科技方面来看，技术应用正在从技
术手段支撑转变为引领创新发展。金融与科技深度
融合，对于创新金融产品和服务、提升金融服务品
质和效率、加快金融数字化和智能化，具有重要意
义。近年来，许多金融科技应用实现了重要突破
有力推动了金融服务颠覆式的创新与重塑。大数据
和人工智能在投资顾问、智能营销、风险防控等领
域的全面深化应用，使服务长尾客户的成本大幅降
低，助力机构风险防控和客户体验“双提升”。近期
区块链技术引发广泛关注，中国数字货币研究应用
也在提速。金融机构积极搭建安全可控的云服务平
台，提供中小微“云化”综合服务方案。新技术之
间的交叉结合，催生出很多新金融业态，又进一步
推动了金融科技的发展。
二是行业格局从竞争竞合到融合共赢。金融科
技发展初期，一些科技公司依托技术、平台、流量
优势，从网络支付切入，逐步向网络融资、资产管
理等金融领域渗透，迅速积累了大量客群，对传统 ..."
427,Y2019,M12,#462,世界经济进入了日本式衰退,中国国际金融学会年会,Special Column,--,朱民,"摘要：世界经济进入了日本式衰退，表现为低
增长、低通胀和低利率，货币政策、财政政策空间
有限。发达国家经济增长速度下降，新兴经济体
增长速度平缓；各经济体通胀持续低迷；全球央行
进入降息通道。利率下行，使得市场流动性增强
股市越来越由公司业绩实体支撑走向流动性支撑
呈现高估、波动状态，加剧了收入分配的不均衡
风险从银行和保险转向企业和非金融机构。
关键词：世界经济；低增长；低利率；低通胀
中图分类号：F831      文献标识码：A
全球已正式进入了后危机时代。进入后危机
时代的关键事件是美联储降息。美联储最近连续
降息。2008年全球金融危机期间，美联储降息
从6%左右降到0，且危机以后持续了整整六年左
右，直至2015年年底才开始上调。但累计只上调
了2.5%～2.75%，在远远没有调至应有位置的情
况下，美联储便又开始降息。这次降息引起了市
场很大的担忧，股市大幅下跌，美国道琼斯指数
跌了1.4%，欧洲股市跌了2.1%，中国股市也跌了
2.2%左右，市场反应反常。反常背后的主要原因是
美联储主席说这次降息是“预防性”的。市场理解
“预防性”意味着事情正在走向恶化，所以美联储
提前采取了措施，在利率还没有升到高位时就开始
降息。这是经济增长速度放缓的重要信号。 ..."
428,Y2019,M12,#462,世界经济与金融的新视角,中国国际金融学会年会,Special Column,--,莫里茨·舒拉里克,"摘要：本文探讨了全球化的正反作用，尤其是
其带来的危机与传染，收入分配的不平等，以及新
经济与政治力量的崛起等问题；同时，讨论了全球
化进入顶峰后的前景以及中国信贷顶峰等问题。
关键词：全球化；信贷繁荣
中图分类号：F831      文献标识码：A
在当前，探讨世界经济和世界金融的新格局
并分析这对中国经济意味着什么，对世界又意味着
什么意义重大。
一、关于全球化的悖论
整个世界已发生了变化。这种变化与全球化有
关。
与此相关的两本著作令人深受启发。一本著
作是《Why Globalization Works》。主要观点是全
球化是有效的。全球化确实发挥了作用，世界可
以感受到中国贸易的繁荣，中国日益融入国际社
会，使得全世界都受益匪浅。一本著作是《When
Globalization Falls》。本书置疑全球化是否已经结束
或者已经失败了。此外，还有著作提出，全球化最
后是自己打败了自己。因为全球化必然会带来挑战
而且这些挑战还是巨大的。 ..."
429,Y2019,M12,#462,变革中的全球化,中国国际金融学会年会,Special Column,--,赵廷辰,"摘要：全球化改变了世界的面貌，给各国带来
了巨大的经济收益，但也产生了一些社会经济问
题。近年来，世界多国兴起了反全球化浪潮，特别
是美国总统特朗普对中国发起的贸易摩擦。这给中
国经济，乃至全球经济的发展带来了巨大挑战。 
关键词：全球化；收入差距；贸易争端；竞争共
存
中图分类号：F831      文献标识码：A
全球化改变了世界的面貌，给各国带来了巨
大的经济收益，但也产生了一些社会经济问题。近
年来，世界多国兴起了反全球化浪潮，特别是美国
总统特朗普对中国发起了贸易摩擦。这给中国经
济，乃至全球经济的发展，带来了巨大挑战。
盛斌：收入差距是造成本轮反全球化的
重要原因 
从工业革命以后，全球经历了两次全球化和
三次反全球化。通常，衡量全球化的指标主要考察
流动性和互联互通性。其中，三个最重要的指标是
贸易量、资本流动量和移民数量。工业革命以后
这三个指标出现了两个上升期，即第一次和第二次
全球化时期。同时，也出现了三次下滑期，第一次 ..."
430,Y2019,M12,#462,宽松货币政策是否会卷土重来,中国国际金融学会年会,Special Column,--,田园,"摘要：2008年国际金融危机以来，全球货币政
策从宽松，到回归正常化，再到更深层次、更大范
围的再宽松，对全球经济金融产生了重大影响。当
前，世界经济前景充满不确定性，风险正在积累。
全球货币政策调整空间有限，面临诸多困局。未来，
应当回归经济增长本源，反思货币政策框架，审慎
使用强刺激政策，探寻如何实现有效需求和有效供
给，切实促进实体经济健康有序发展。 
关键词：宽松货币政策；实体经济；货币政策框
架；有效需求和有效供给  
中图分类号：F831      文献标识码：A
国际金融危机以后，全球货币政策分合交错，
互动互溢，可大致划分为三个阶段。第一阶段为
2008年危机后至2015年年底，是实施以降息和扩
张资产负债表为主要特征的多轮量化宽松货币政
策阶段，也是非常规的货币政策阶段；第二阶段为
2015年年底至2018年，以加息和缩减资产负债表
为主要特征的货币政策回归正常化阶段；第三阶段
为2018年至今，表现为新的、更大范围的、更深
层次的降息，并辅之新的资产负债表扩张，可以称
之为全球货币政策再宽松的阶段。必须意识到，货
币政策作用的效果正在减弱，正向作用正在降低，
而负向作用，甚至一些风险因素则正在不断积累。
如何从理论层面剖析货币政策的困境，如何构建合 ..."
431,Y2019,M12,#462,数字金融新发展,中国国际金融学会年会,Special Column,--,郝毅,"摘要：在数字科技领域，中国科技企业数量、
质量和产值，已居全球首位。数字科技领域最受关
注的技术是大数据和人工智能技术。大数据最重要
的作用是减少信息不对称，达到更精准的风险管理；
人工智能技术不仅仅能使数据处理得更快，而且能
够拓展其自身技术能力的边界。金融和科技的真正
联合，使数字技术加速了智能化、数据化、云端化
的发展，金融商业实践、行业发展、监管模式随之
发生了巨大的变化。中国金融科技在跨越式发展过
程当中会带来一系列亟待解决的问题，需要有重大
的理论创新来破局。 
关键词：金融科技；大数据；人工智能 
中图分类号：F830      文献标识码：A
沈建光：中国数字金融为何能引领全球
在很多方面，中国的数字金融引领全球。第一，
数字科技金融科技方兴未艾，在全球发展非常迅速。
包括一些投行都在转型，例如，高盛CEO说，我们
已经不是金融企业了，而是科技公司；而科技巨头
亚马逊则招了150名有博士学位的经济学家，用经
济学指导亚马逊多方面的业务。第二，中国已经成
为世界上公认的第一数字大国。中国产生的数据量
遥遥领先，而且国家对人工智能和区块链技术十分
重视，也有很多成果。第三，中国科技企业正在蓬
勃发展。 ..."
432,Y2019,M12,#462,人民币汇率“破7”之后为何境内外汇衍生品市场头寸未出现大幅增加,银行家论坛,Banker's Forum,--,管涛,"摘要：2019年8月，人民币兑美元汇率“破7”。
当月，尽管境内远期购汇对冲比率环比有所上升，
却未出现如同2015年“8·11”汇改当月未到期
远期净购汇头寸翻番的情况。本文认为，四个因
素可能是境内外汇衍生品市场在人民币汇率“破7”
后仍保持了较为平稳运行的深层次原因。
关键词：人民币汇率；境内外汇衍生品市场演
变
中图分类号：F832       文献标识码：A
多个指标显示，人民币对美元汇率“破7”之
前，国内企业汇率风险对冲比率处于较低水平；而
在2019年8月“破7”当月，尽管境内远期购汇
对冲比率环比有所上升，但却并未出现如同2015
年“8·11”汇改当月未到期远期净购汇头寸翻番
的情况，且未到期远期还由净购汇41亿美元反转
为净结汇15亿美元，未到期期权Delta净购汇敞
口也仅增加了38亿美元。深入分析，本文认为，
以下四个因素可能是境内外汇衍生品市场在人民
币汇率“破7”后仍保持较为平稳运行的深层次原 ..."
433,Y2019,M12,#462,浅析商业银行数字化转型,银行业经营管理,Banking Management,--,黄小军 范书宁 杨晓 苏梅兰 高明,"摘要：商业银行数字化转型经历了手工化升级
期、信息化替代期和数字化萌芽期，目前，处在数
字化爆发期。随着战略转型与投入变革的交替升
级，数字化转型从分歧走向一致，并呈逐步加速的
态势。全球商业银行数字化转型呈现出以金融科技
为主引擎、以移动领域为主战场、以场景生态为主
阵地、以用户体验为主趋势和以组织敏捷为主心骨
的五项新特征；同时，也面临人才缺乏、成本过高
及文化不适等多重挑战。我国银行业应以“转换、
创新、迭代”为方向，以客户为中心，通过科技与
业务的深度融合，融入数字思维，强化“聪明大脑”；
构建数字生态，打造“敏捷身手”；协同创造价值，
强健“骨骼肌肉”，实现业务流程、运营管理、经
营模式的数字化赋能。在此基础上，构筑良好的
生态运营环境，提高获客活客、跨界竞争的能力，
让银行业务完美融入生产、融入生活、融入社会，
推动我国银行业在新时代高质量发展的新征程上
行稳致远。
关键词：商业银行；数字化；转型
中图分类号：F832       文献标识码：A
科技进步是推动经济社会提高发展质量、效
率的核心驱动力。随着新一轮科技革命和产业变革 ..."
434,Y2019,M12,#462,全球经济筑底：积蓄新动能—— 中国银行全球经济金融展望报告（2020年）,宏观经济与市场,Macro Economy & Market,--,中国银行研究院全球经济金融研究课题组,"摘要：关于全球经济金融形势，《报告》认为，
2019年全球经济下行趋势明显，预计经济增速为
2.6%，创近年来新低。全球经济高度金融化，以高
流动性、低增长、低通胀和高泡沫为主要特征。展
望2020年，受政经风险交织等因素的影响，预计上
半年继续下滑，下半年有望筑底，全年增速较2019
年下降0.1个百分点。全球贸易变局催生区域合作新
趋势，RCEP旨在建立一个区域内框架性自由贸易协
定，有望成为国际经贸合作的典范。科技发展和新
经济产业，代表了全球经济未来的发展方向，需要
全球加强创新投资合作，推动实体经济真正走出低
谷。
关键词：全球贸易；区域合作；科技发展；新经
济产业
中图分类号：F831    文献标识码：A
2019年，全球贸易保护主义仍在升级，国际贸
易、制造业生产、消费投资信心等均降至近年来低
点。为应对经济下行压力，主要经济体央行纷纷降
息，全球货币宽松卷土重来，金融市场高流动性和
高泡沫并存，全球经济日益呈现出高度金融化的特
征。而要破解实体经济增长的困局，需要全球共同
努力。在亚太区域，RCEP谈判取得重大进展，为建
立互利共赢的经贸合作关系提供了典范。与此同时， ..."
435,Y2019,M12,#462,将“保6”作为攻坚之年宏观政策的核心—— 中国银行中国经济金融展望报告（2020年）,宏观经济与市场,Macro Economy & Market,--,中国银行研究院中国经济金融研究课题组 ,"摘要：2019年，中国经济发展面临的内外部环
境更趋复杂，经济下行压力持续增大，前三季度
GDP增长6.2%，预计全年增长6.1%左右。中国经
济金融主要面临中美贸易摩擦、猪肉价格上涨、实
体经济需求低迷、债券违约风险或向信贷市场传导
等风险。展望2020年，中国经济面临的风险和挑
战增多，总体判断为“谨慎乐观”。按当前内外部
市场环境，若政策不做大的调整，2020年中国经济
自然增长率很可能会低于6%。从实现“两个翻番”、
全面建成小康社会和跨越“中等收入陷阱”三大目
标来看，2020年宏观政策要坚持底线思维，增强忧
患意识。建议把稳增长，尤其是把“保6”作为宏
观调控政策的核心。
关键词：经济发展；宏观政策；“保6”
中图分类号：F831    文献标识码：A
2019年，中国经济发展面临的内外部环境更趋
复杂，经济下行压力持续增大。中国政府加大了政
策逆周期调节力度，积极实施“六稳”政策，经济
总体仍运行在合理区间，前三季度GDP增长6.2%， ..."
436,Y2019,M12,#462,开启银行业敏捷转型新征程—— 中国银行全球银行业展望报告（2020年）,宏观经济与市场,Macro Economy & Market,--,中国银行研究院全球银行业研究课题组,"摘要：过去十年来，全球银行业总体上处于一个
经济低增长、低通胀、低利率，金融高约束、高风险
高成本的发展环境之中，导致银行业发展业绩受到持
续影响，回报率下降，市场估值低迷。展望未来，全
球银行业的经营发展将面临较大挑战，规模扩张受制
于需求和监管约束，盈利改善受息差和资产质量拖累
银行业估值仍将处于低迷状态。全球银行业并购重组
将重启，成本效率将成为银行业转型关键。中国银行
业的经营将保持稳定，在重点区域、场景、业务及金
融科技领域将实现突破，敏捷反应将成为银行的核心
竞争力。
关键词：全球银行业；不良资产；敏捷转型
中图分类号：F831    文献标识码：A
过去十年，受到全球金融危机的冲击，全球银行
业总体上处于一个经济低增长、低通胀、低利率，金
融高约束、高风险、高成本的发展环境之中，从而陷
于经营绩效低增长、低回报和低估值的困境。短期内
这个局面依然较难摆脱和取得突破；但是，市场态势
正在长期的量变发展中积累新的质变动力和能量。特
别是全球化的推动力量、私人财富积累、科技创新和 ..."
437,Y2019,M12,#462,中国金融供给侧结构性改革：目标、问题与路径,宏观经济与市场,Macro Economy & Market,--,徐振东,"摘要：中国金融供给侧结构性改革是一项长期性
系统工程，必须在高质量发展目标下，认清金融供给
侧结构性深层次的问题，紧紧围绕金融供求结构平衡
的主线，侧重从金融业的体制机制、供给结构、双向
开放、风险管控等路径入手，以服务实体经济为导向
推动间接融资提质增效，加快直接融资特别是股权融
资发展，推动金融业高水平双向开放，在监管改革中
形成合力，奋力实现强国富民的中国梦。
关键词：高质量发展；金融供给侧结构性改革
实现路径
中图分类号：F832    文献标识码：A
2019年为新中国成立70周年，中国已成为全
球第二大经济体，而今迈步从头越，踏上了高质量
发展的新征程。金融是实体经济的命脉，金融活
经济活；金融稳，经济稳。金融与经济相互依存、相
互强化。金融的核心功能就是为实体经济服务，通
过市场实现跨时空价值交换，发挥媒介交易、动员
资金、优化配置、分散风险等重要作用。“金融是一
种社会结构，通过这种社会结构，人们界定各自日
常的利益关系，并定义这种利益，通过市场来管理
和计量这种利益”①。因此，必须持续优化金融供给
结构，匹配迭代升级的金融需求结构，满足经济发 ..."
